Chave;ano;Sigla;dsc_tribunal;secao;trib;cn1;CnCCrim1;CnCNCrim1;CnExtFisc1;CnExtNFisc1;ExeJudCrimPL1;ExeJudCrimNPL1;ExeJudNCrim1;cp1;CpCCrim1;CpCNCrim1;CpExtFisc1;CpExtNFisc1;ExeJudPCrimPL1;ExeJudPCrimNPL1;ExeJudPNcrim1;cntr;CnCrimTR;CnNCrimTR;cptr;CpCrimTR;CpNCrimTR;cnje;CnCCrimJE;CnCNCrimJE;ExeJudJE;cpje;CpCCrimJE;CpCNCrimJE;ExeJudPJE;Tram;Dpj;DPeI;dpji;MagPAe1;MagPAeJE;MagPAeTR;MagPAcJE1;MagPAcTR1;MagPAcTRJE;MagAJ1;MagAJJE;MagAJTR;Mag;TPEfet;TPCed;TPReq;TPSV;Serv;tbaix1;TBaixCCrim1;TBaixCNCrim1;TBaixExtFisc1;TBaixExtNFisc1;TBaixJudCrimNPL1;TBaixJudCrimPL1;TBaixJudNCrim1;tbaixtr;TBaixCrimTR;TBaixNCrimTR;tbaixje;TBaixCCrimJE;TBaixCNCrimJE;TbaixJudJE;Tbaix
TO2012;2012;TRF1;TRF 1ª Região;TO;0;9128;1614;1508;5796;200;4;0;6;15706;1933;2289;10205;587;209;1;482;1126;4;1122;3106;5;3101;12294;33;12261;0;10313;35;10278;0;51673;40953987,05;1708735,94;39245251,11;2;1;2;0;0;1;0;0;0;6;143;4;12;0;151;5855;1692;1660;2239;83;0;40;141;2573;3;2570;10214;30;10184;0;18642
BA2012;2012;TRF1;TRF 1ª Região;BA;0;48290;5459;13388;27872;928;16;16;611;185165;7415;28578;132583;6395;285;203;9706;21641;5;21636;30072;5;30067;66098;56;66042;0;88483;135;88348;0;439749;255126390,9;21324321,22;233802069,6;41;4;5;2;6;3;2;0;0;59;959;8;85;3;1039;64157;6801;21121;30987;964;71;112;4101;18622;7;18615;96915;90;96825;0;179694
MA2012;2012;TRF1;TRF 1ª Região;MA;0;13797;3657;4520;4821;412;9;1;377;61378;4145;10803;38919;3003;117;178;4213;10758;4;10754;10466;4;10462;51478;79;51399;0;61338;68;61270;0;209215;89007071,49;8952137,96;80054933,53;7;3;0;3;3;1;0;1;0;16;345;13;40;1;373;13822;3712;5046;4150;238;25;26;625;3675;2;3673;67854;21;67833;0;85351
PI2012;2012;TRF1;TRF 1ª Região;PI;0;10538;1799;3402;5198;129;3;0;7;43730;2963;10402;25668;1476;74;67;3080;2819;0;2819;17298;0;17298;25348;8;25340;0;82902;26;82876;0;182635;69074310,92;6562666,43;62511644,49;7;3;2;1;2;1;0;1;0;15;272;3;16;0;285;9323;1571;4691;2077;135;9;21;819;2660;1;2659;24575;13;24562;0;36558
TRF12012;2012;TRF1;TRF 1ª Região;total;1;273540;45116;93121;125673;5793;319;33;3485;1254491;66049;239312;809978;44268;3070;1976;89838;125594;45;125549;194162;44;194118;382633;939;381694;0;676007;1463;674544;0;2906427;2025728980;215039493,8;1810689486;222;39;33;22;44;15;8;8;0;359;7077;214;722;54;7639;359049;57231;155531;111264;6458;601;1340;26624;94003;37;93966;580120;950;579170;0;1033172
RJ2012;2012;TRF2;TRF 2ª Região;RJ;0;96754;10026;30209;46137;982;0;931;8469;647043;31299;104687;456684;16139;0;2359;35875;40005;26;39979;51105;9;51096;106268;259;84200;21809;145966;1350;113830;30786;1087141;742864621,3;107794417,9;635070203,4;112;42;12;21;0;0;11;1;1;174;2833;81;107;7;2866;131044;13160;44570;53427;4466;571;0;14850;25362;26;25336;145667;705;106534;38428;302073
ES2012;2012;TRF2;TRF 2ª Região;ES;0;20785;2160;5609;9671;1471;0;150;1724;116974;5149;12602;89847;2705;0;308;6363;5909;7;5902;9928;9;9919;22304;129;17575;4600;34712;154;31056;3502;210612;143506262,9;9852282,171;133653980,7;11;6;2;9;1;0;3;0;0;26;519;19;18;1;519;23692;2412;6507;10348;1105;118;0;3202;3967;6;3961;25707;134;20193;5380;53366
total2012;2012;TRF2;TRF 2ª Região;total;1;117539;12186;35818;55808;2453;0;1081;10193;764017;36448;117289;546531;18844;0;2667;42238;45914;33;45881;61033;18;61015;128572;388;101775;26409;180678;1504;144886;34288;1297753;1177212063;151890396,5;1025321667;123;48;14;30;1;0;14;1;1;200;4366;117;219;32;4500;154736;15572;51077;63775;5571;689;0;18052;29329;32;29297;171374;839;126727;43808;355439
MS2012;2012;TRF3;TRF 3ª Região;MS;0;18534;1290;7056;6155;1071;324;69;2569;66874;5705;12606;39145;165;37;70;9146;2753;7;2746;6504;6;6498;4893;26;4867;0;6888;74;6814;0;106446;84246311,22;4061941,69;80184369,53;15;2;0;2;0;0;1;0;0;18;317;8;5;1;315;48410;2830;10640;22928;788;57;36;11131;3531;8;3523;7082;2;7080;0;59023
SP2012;2012;TRF3;TRF 3ª Região;SP;0;277911;5289;110313;79851;4349;313;972;76824;1537370;19944;197645;1068358;20921;123;2285;228094;89769;71;89698;210181;61;210120;157492;104;157388;0;220504;167;220337;0;2493227;1086076344;105647912,7;980428431,3;216;56;15;1;0;0;22;0;0;266;4006;35;42;3;4016;480532;12787;156945;81834;3345;568;25;225028;68769;75;68694;216957;287;216670;0;766258
total2012;2012;TRF3;TRF 3ª Região;total;1;296445;6579;117369;86006;5420;637;1041;79393;1604244;25649;210251;1107503;21086;160;2355;237240;92522;78;92444;216685;67;216618;162385;130;162255;0;227392;241;227151;0;2599673;1646621529;158595074,7;1488026454;231;58;15;3;0;0;23;0;0;284;6139;89;75;17;6142;528942;15617;167585;104762;4133;625;61;236159;72300;83;72217;224039;289;223750;0;825281
RS2012;2012;TRF4;TRF 4ª Região;RS;0;87197;7277;38453;27769;4023;337;318;9020;369985;10255;82602;225113;9128;1105;972;40810;50522;31;50491;104745;29;104716;108995;588;108407;0;110581;674;109907;0;832025;467427287;34626169;432801118;39;41;6;56;0;0;8;2;0;132;1689;3;2;0;1688;90488;7641;50457;20469;1690;294;259;9678;57582;33;57549;107834;515;107319;0;255904
PR2012;2012;TRF4;TRF 4ª Região;PR;0;66056;14415;23824;19348;1782;693;339;5655;268721;16410;59420;128541;7561;1699;1072;54018;36481;26;36455;73605;8;73597;83538;335;83203;0;87577;433;87144;0;615978;381999705;30764962;351234743;37;26;3;53;0;0;8;1;0;110;1406;1;4;0;1409;65883;15871;31607;8937;1126;359;507;7476;37246;21;37225;90677;333;90344;0;193806
SC2012;2012;TRF4;TRF 4ª Região;SC;0;42492;3220;18480;15700;1167;220;234;3471;161589;6250;39810;93573;4456;902;565;16033;28939;58;28881;52660;22;52638;73273;334;72939;0;61061;605;60456;0;420014;269641843;15909218;253732625;17;19;3;42;0;0;0;0;0;81;1010;2;3;0;1011;41593;3201;28282;6393;937;214;280;2286;31579;51;31528;72483;372;72111;0;145655
total2012;2012;TRF4;TRF 4ª Região;total;1;195745;24912;80757;62817;6972;1250;891;18146;800295;32915;181832;447227;21145;3706;2609;110861;115942;115;115827;231010;59;230951;265806;1257;264549;nd;259219;1712;257507;nd;1868017;1412421411;117761157,3;1294660254;93;86;12;151;0;0;16;3;0;323;5083;8;10;6;5091;197964;26713;110346;35799;3753;867;1046;19440;126407;105;126302;270994;1220;269774;nd;595365
SE2012;2012;TRF5;TRF 5ª Região;SE;0;6084;168;2542;2993;149;2;59;171;21859;471;2048;16702;452;10;179;1997;3986;0;3986;1741,58763;0;1741,58763;17455;0;17455;0;5975,536;0;5975,536;0;57101,12363;55527728,18;5405062,123;50122666,06;7;1;0;0;3;1;0;0;0;12;193;2;52;1;244;11042;339;3294;5012;255;42;10;2090;3890,3862;0;3890,3862;18494,9765;0;18494,9765;0;33427,3627
AL2012;2012;TRF5;TRF 5ª Região;AL;0;8207;286;2609;4224;78;84;767;159;37931;867;3546;26265;886;7;155;6205;6108;0;6108;11471,73325;0;11471,73325;32908;0;32908;0;16486,077;0;16486,077;0;113111,8103;75556443,32;6240932,64;69315510,68;14;4;0;0;3;2;0;0;0;23;258;4;53;3;310;10196;485;3325;2756;266;41;0;3323;6125,966;0;6125,966;37222,7569;0;37222,7569;0;53544,7229
PE2012;2012;TRF5;TRF 5ª Região;PE;0;24820;681;6878;13746;2392;31;87;1005;104685;1608;9662;78589;3437;218;480;10691;15100;0;15100;45137,13787;0;45137,13787;46201;0;46201;0;15515,0524;0;15515,0524;0;251458,1903;191010333;27975633,16;163034699,8;39;9;0;1;6;1;0;0;0;56;687;33;125;7;786;46989;1095;12051;24470;2595;154;153;6471;22578,5604;0;22578,5604;56467,8793;0;56467,8793;0;126035,4397
